what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301209276593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209277667
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209278445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209278853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209284656
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209286763
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301209287824
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1301209290648
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209293151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209293571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209439423
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209448247
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209451174
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209451359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209451534
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1301209454503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209458854
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209459580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209460159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209465483
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301209467272
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1301209470943
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209473344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209475687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209484664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209491963
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209492658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209493307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209497341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209504602
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209505418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209505807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209510043
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301209510374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209513404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209515311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209515583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209519982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301209524158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209527526
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209538914
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209539131
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209539506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209539827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209541456
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209542096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209542532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209545708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209550003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209573714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209577265
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209577928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209578541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209583883
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301209585313
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1301209589232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1301209589471
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209598696
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301209600904
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1301209602663
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1301209603007
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209605359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209605726
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1301209606614
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1301209608315
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1301209608755
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1301209609679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301209610898
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1301209612132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209612645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209616628
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301209617953
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1301209621172
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209627323
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209633585
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1301209638074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209640604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209659473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301209660148
